# query_id	place_id	relevance
q1	1	3
q1	2	2
q2	3	3
q3	4	3
q_biyouin_001	1778	1
q_biyouin_001	1822	1
q_biyouin_001	1829	1
q_biyouin_001	1855	1
q_biyouin_001	1901	1
q_biyouin_001	1904	1
q_biyouin_001	1941	1
q_biyouin_001	1968	1
q_biyouin_001	4716	1
q_biyouin_001	4767	1
q_restaurant_001	26222	1
q_restaurant_001	26551	1
q_restaurant_001	27190	1
q_restaurant_001	27308	1
q_restaurant_001	27352	1
q_restaurant_001	27367	1
q_restaurant_001	27494	1
q_restaurant_001	28146	1
q_restaurant_001	40040	1
q_restaurant_001	41537	1
q_convenience_en_001	68479	1
q_convenience_en_001	73057	1
q_convenience_en_001	79801	1
q_convenience_en_001	68374	1
q_convenience_en_001	68464	1
q_convenience_en_001	72921	1
q_convenience_en_001	68435	1
q_convenience_en_001	73084	1
